timestamp,omega_eng(t),omega_load(t),delta_w(t)
0.303,32.40092108156689,32.50951863008763,-0.10859754852074133
0.304,32.452119820005024,32.60828677925135,-0.1561669592463275
0.305,32.51338029547192,32.706134249219325,-0.19275395374740611
0.306,32.58555315956104,32.803016930736476,-0.21746377117543858
0.307,32.66903360006136,32.89893342554741,-0.2298998254860507
0.308,32.76374889334302,32.99392318391772,-0.23017429057470196
0.309,32.86916420903485,33.08806300461875,-0.2188987955839039
0.31,32.98430672220599,33.181462049591346,-0.19715532738535302
0.311,33.107807367065284,33.27425558535741,-0.16644821829212475
0.312,33.237958848782014,33.3665977153303,-0.12863886654828605
0.313,33.37278784494864,33.45865340937822,-0.08586556442958226
0.314,33.510138704348726,33.55059016745055,-0.04045146310182446
0.315,33.64776542364829,33.64256966940289,0.005195754245399087
0.316,33.78342990103947,33.73473935669224,0.04869054434723097
0.317,33.91500203539771,33.827224417334094,0.08777761806361895
0.318,34.04054902725442,33.920122638278,0.12042638897641922
0.319,34.158420736917506,34.013499684515324,0.14492105240218223
0.32,34.267324542869034,34.10738571776301,0.15993882510602475
0.321,34.36638565905323,34.201773669269905,0.16461198978332447
0.322,34.45518993415695,34.296619278009125,0.15857065614782329
0.323,34.533806922698176,34.39184290715112,0.14196401554705318
0.324,34.60279181009244,34.487333074577435,0.11545873551500563
0.325,34.66316566200824,34.582951555570205,0.08021410643803506
0.326,34.716374408046526,34.678539843275296,0.037834564771230816
0.327,34.76422793785905,34.773926684339514,-0.00969874648046698
0.328,34.8088239950034,34.86893575831621,-0.060111763312811206
0.329,34.85245816334677,34.96339359145135,-0.11093542810458246
0.33,34.89751526209233,35.05713944949635,-0.1596241874040203
0.331,34.94635823450195,35.15003390421372,-0.20367566971177098
0.332,35.001216628266484,35.24196637959099,-0.2407497513245076
0.333,35.06407903699266,35.33286149439912,-0.26878245740645923
0.334,35.13659459458848,35.42268387659183,-0.2860892820033527
0.335,35.21998833484798,35.51144119113421,-0.2914528562862273
0.336,35.314994717684534,35.59918520178135,-0.28419048409681835
0.337,35.42181289189604,35.686010776818364,-0.264197884922325
0.338,35.540086340621805,35.77205284422619,-0.23196650360438298
0.339,35.668908474732255,35.857481399175526,-0.188572924443271
0.34,35.806854547903185,35.94249476130313,-0.13564021339994525
0.341,35.95203901843696,36.02731136624638,-0.07527234780941683
0.342,36.102196232054546,36.112160451774116,-0.009964219719570622
0.343,36.25478210461921,36.19727181046039,0.05751029415881703
0.344,36.407095748564146,36.28286423956837,0.12423150899577706
0.345,36.556401973427576,36.36913661811376,0.18726535531381927
0.346,36.700059492326226,36.45625939661443,0.24380009571179784
0.347,36.83564964049932,36.54436667013533,0.2912829703639872
0.348,36.961096763258944,36.63354984563763,0.32754691762131216
0.349,37.0747741047398,36.72385323342328,0.35092087131652505
0.35,37.17558956273593,36.815271808130476,0.3603177546054539
0.351,37.26304653877202,36.90775127963579,0.35529525913623416
0.352,37.33727624321827,37.00119050097683,0.33608574224143695
0.353,37.39903916730127,37.09544612396007,0.30359304334119486
0.354,37.449694948816585,37.190339298608144,0.2593556502084411
0.355,37.49114146073437,37.28566410670211,0.20547735403226142
0.356,37.52572556374421,37.38119732744137,0.14452823630283973
0.357,37.556129500619626,37.476709059897544,0.07942044072208176
0.358,37.58523828859667,37.57197367658655,0.013264612010118526
0.359,37.61599558968978,37.666780312661466,-0.05078472297168446
0.36,37.651259376630236,37.76094134891911,-0.10968197228887533
0.361,37.69364938302742,37.85430232762993,-0.16065294460251067
0.362,37.74540596169467,37.94674990681741,-0.201343945122737
0.363,37.808270430054016,38.03821684440455,-0.2299464143505361
0.364,37.883390487669004,38.12868453934671,-0.24529405167770335
0.365,37.97125626146649,38.21818299505015,-0.24692673358365624
0.366,38.07167105614799,38.30678819507767,-0.2351171389296809
0.367,38.183759081694085,38.394617022646095,-0.21085794095201038
0.368,38.30601044570232,38.481819991270584,-0.17580954556826356
0.369,38.436361638987336,38.56857217685616,-0.1322105378688221
0.37,38.57230771723258,38.655062845395584,-0.08275512816300079
0.371,38.711040509848225,38.74148434791218,-0.030443838063952455
0.372,38.84960567822244,38.828020876205585,0.021584802016853644
0.373,38.98507314739745,38.91483694963472,0.07023619776273193
0.374,39.11470546664557,39.00206777412528,0.11263769252028766
0.375,39.23611260605315,39.08981249601907,0.14630011003407617
0.376,39.347392491439635,39.17812865207703,0.16926383936260692
0.377,39.44724527798689,39.26702902784655,0.18021625014034015
0.378,39.53505389486965,39.35648119724208,0.17857269762756545
0.379,39.610925480121445,39.44640979004166,0.1645156900797815
0.38,39.675690501510836,39.53670137320609,0.1389891283047433
0.381,39.730858792831164,39.62721167484151,0.10364711798965232
