timestamp,tire_F(t),suspension_travel(t),seat_a(t)
2.11,-4340.207970415746,0.819165612863429,0.07785368627518399
2.12,-4315.52115975397,0.8191966462617355,0.06145579975548496
2.13,-4274.80522106356,0.8192544400777035,0.03771137853480392
2.14,-4280.143802226687,0.8193416927803965,0.005760377740968655
2.15,-4307.890154986673,0.819418037281723,-0.024287707356146864
2.16,-4296.08845816443,0.819476430950263,-0.05103283385777976
2.17,-4265.552909073967,0.8195474459687635,-0.08282761553461455
2.18,-4314.900599198379,0.8196312803378495,-0.1159129423042278
2.19,-4382.73536146775,0.8196622916316136,-0.12500079813038192
2.2,-4353.202008646144,0.8196521936080617,-0.12548699629678595
2.21,-4352.424243058141,0.8196589711668391,-0.13034919193263667
2.22,-4365.50586201879,0.8196631620577882,-0.1289890182096561
2.23,-4360.369392735099,0.819661097625896,-0.12534419883767026
2.24,-4390.593697400563,0.8196557384768615,-0.11757397482228195
2.25,-4388.405470044604,0.8196273938408758,-0.10204780193314301
2.26,-4367.937537035981,0.8196085009154934,-0.0915425359029579
2.27,-4412.855279302103,0.8195904599920772,-0.07628586092973251
2.28,-4380.62955554421,0.8195505059173863,-0.056722870242202815
2.29,-4363.056875429701,0.819535508780376,-0.043714746974768556
2.3,-4348.203582613022,0.8195364637737341,-0.0339471749530882
2.31,-4383.279055357962,0.8195445949928304,-0.025927733637079578
2.32,-4430.301181846174,0.8195158903599381,-0.0074908796318595705
2.33,-4453.302904248999,0.8194526975174722,0.019546021958579254
2.34,-4486.918458215405,0.8193609010530137,0.05653635750287359
2.35,-4471.851627203805,0.8192520749047055,0.09896292577988865
2.36,-4480.280005456018,0.8191497218187506,0.13909983934877534
2.37,-4447.572042827725,0.8190513086051752,0.1740246423662029
2.38,-4419.325288969567,0.818982829244805,0.19384389961567952
2.39,-4371.20899963693,0.8189454824933246,0.20020572760984312
2.4,-4304.500072000554,0.8189579384149754,0.18497437521287072
2.41,-4258.1970529222,0.8190299528520282,0.15230991503715927
2.42,-4292.302734746838,0.8191304222410885,0.12044107004843643
2.43,-4328.302111118346,0.8191987876185778,0.0995018207019939
2.44,-4324.254149931063,0.8192416451045057,0.07827307567472037
2.45,-4314.529050655929,0.8192853885416542,0.05442487157277469
2.46,-4317.01445351518,0.8193358503841572,0.02782546457659502
2.47,-4328.643110585074,0.8193803098375068,0.0021530820616893227
2.48,-4317.462231590912,0.8194190833111404,-0.02267228106979739
2.49,-4322.385507378956,0.8194640633674324,-0.048739028783643334
2.5,-4365.250569875941,0.8194964344438761,-0.06858886505078961
2.51,-4373.118953171891,0.8194952376864258,-0.07640720618148293
2.52,-4398.986421934976,0.8194862118392116,-0.0804131048182891
2.53,-4465.727024568806,0.8194381243365796,-0.06760587732317352
2.54,-4394.791569279225,0.8193613417935667,-0.05034743909351391
2.55,-4396.370789140946,0.8193328057626589,-0.04322651341028821
2.56,-4426.748379442228,0.8192976442566111,-0.030087011475150877
2.57,-4435.536140400819,0.8192434642363424,-0.011441498330068118
2.58,-4416.908499261986,0.8191828068142264,0.010018667288539973
2.59,-4368.474259409895,0.8191483746602504,0.024074804586156993
2.6,-4332.954466547506,0.8191530088795123,0.027434609470479168
2.61,-4282.571355168633,0.8191980758945051,0.018283445032329836
2.62,-4285.079404899616,0.8192776396570048,-0.0007170624962896
2.63,-4307.371837537412,0.8193542688348044,-0.02021827862842732
2.64,-4375.864699586127,0.8193996613145206,-0.03129628777972281
2.65,-4410.585909940747,0.8193867894906224,-0.026472239436187314
2.66,-4378.165785006939,0.819352589797562,-0.017057436845055916
2.67,-4330.832865495625,0.8193502926108002,-0.016380508182063144
2.68,-4344.285202606556,0.8193794032762548,-0.02292854721878257
2.69,-4362.7489408023885,0.819396949211446,-0.025670884897131905
2.7,-4368.256815166507,0.8194001872106114,-0.024850241016677425
